Frame, TimeStamp, X, Y, Z, intensity
1 , 0.02 , 0.262249 , -0.539245 , 4.414145 , 0.000000
1 , 0.02 , 0.315639 , -0.462855 , 5.312803 , 0.000000
1 , 0.02 , 0.315983 , -0.277377 , 5.318593 , 0.000000
1 , 0.02 , 0.316326 , -0.092176 , 5.324374 , 0.000000
1 , 0.02 , 0.316672 , 0.094128 , 5.330190 , 0.000000
1 , 0.02 , 0.317020 , 0.281994 , 5.336055 , 0.000000
1 , 0.02 , 0.317371 , 0.470960 , 5.341954 , 0.000000
1 , 0.02 , 0.317724 , 0.661498 , 5.347901 , 0.000000
1 , 0.02 , 0.318081 , 0.854097 , 5.353914 , 0.000000
1 , 0.02 , 0.318443 , 1.049267 , 5.360006 , 0.000000
1 , 0.02 , 0.318811 , 1.247543 , 5.366196 , 0.000000
1 , 0.02 , 0.319185 , 1.449496 , 5.372500 , 0.000000
1 , 0.02 , 0.111137 , -0.466860 , 1.766471 , 0.000000
1 , 0.02 , 0.131097 , -0.475542 , 2.083725 , 0.000000
1 , 0.02 , 0.159381 , -0.487844 , 2.533285 , 0.000000
1 , 0.02 , 0.202708 , -0.506690 , 3.221942 , 0.000000
1 , 0.02 , 0.277684 , -0.539301 , 4.413663 , 0.000000
1 , 0.02 , 0.334191 , -0.462867 , 5.311809 , 0.000000
1 , 0.02 , 0.334555 , -0.277385 , 5.317598 , 0.000000
1 , 0.02 , 0.334919 , -0.092179 , 5.323379 , 0.000000
1 , 0.02 , 0.335284 , 0.094130 , 5.329194 , 0.000000
1 , 0.02 , 0.335653 , 0.282001 , 5.335057 , 0.000000
1 , 0.02 , 0.336024 , 0.470972 , 5.340955 , 0.000000
1 , 0.02 , 0.336399 , 0.661515 , 5.346902 , 0.000000
1 , 0.02 , 0.336777 , 0.854120 , 5.352913 , 0.000000
1 , 0.02 , 0.337160 , 1.049295 , 5.359005 , 0.000000
1 , 0.02 , 0.337549 , 1.247576 , 5.365194 , 0.000000
1 , 0.02 , 0.337946 , 1.449534 , 5.371497 , 0.000000
1 , 0.02 , 0.117307 , -0.466879 , 1.766142 , 0.000000
1 , 0.02 , 0.138376 , -0.475565 , 2.083353 , 0.000000
1 , 0.02 , 0.168232 , -0.487873 , 2.532858 , 0.000000
1 , 0.02 , 0.213969 , -0.506727 , 3.221452 , 0.000000
1 , 0.02 , 0.293119 , -0.539356 , 4.413110 , 0.000000
1 , 0.02 , 0.352744 , -0.462885 , 5.310815 , 0.000000
1 , 0.02 , 0.353128 , -0.277395 , 5.316603 , 0.000000
1 , 0.02 , 0.353512 , -0.092182 , 5.322382 , 0.000000
1 , 0.02 , 0.353898 , 0.094134 , 5.328197 , 0.000000
1 , 0.02 , 0.354288 , 0.282012 , 5.334059 , 0.000000
1 , 0.02 , 0.354680 , 0.470990 , 5.339957 , 0.000000
1 , 0.02 , 0.355075 , 0.661541 , 5.345903 , 0.000000
1 , 0.02 , 0.355474 , 0.854153 , 5.351913 , 0.000000
1 , 0.02 , 0.355878 , 1.049335 , 5.358004 , 0.000000
1 , 0.02 , 0.356289 , 1.247625 , 5.364192 , 0.000000
1 , 0.02 , 0.356708 , 1.449590 , 5.370494 , 0.000000
1 , 0.02 , 0.123476 , -0.466897 , 1.765790 , 0.000000
1 , 0.02 , 0.145654 , -0.475587 , 2.082952 , 0.000000
1 , 0.02 , 0.177083 , -0.487900 , 2.532396 , 0.000000
1 , 0.02 , 0.225228 , -0.506763 , 3.220912 , 0.000000
1 , 0.02 , 0.308551 , -0.539408 , 4.412488 , 0.000000
1 , 0.02 , 0.371299 , -0.462909 , 5.309820 , 0.000000
1 , 0.02 , 0.371704 , -0.277410 , 5.315608 , 0.000000
1 , 0.02 , 0.372108 , -0.092187 , 5.321387 , 0.000000
1 , 0.02 , 0.372514 , 0.094139 , 5.327200 , 0.000000
1 , 0.02 , 0.372924 , 0.282026 , 5.333062 , 0.000000
1 , 0.02 , 0.373336 , 0.471014 , 5.338958 , 0.000000
1 , 0.02 , 0.373752 , 0.661574 , 5.344903 , 0.000000
1 , 0.02 , 0.374172 , 0.854196 , 5.350913 , 0.000000
1 , 0.02 , 0.374598 , 1.049389 , 5.357003 , 0.000000
1 , 0.02 , 0.375031 , 1.247689 , 5.363190 , 0.000000
1 , 0.02 , 0.375471 , 1.449664 , 5.369492 , 0.000000
1 , 0.02 , 0.129644 , -0.466915 , 1.765414 , 0.000000
1 , 0.02 , 0.152931 , -0.475608 , 2.082522 , 0.000000
1 , 0.02 , 0.185931 , -0.487926 , 2.531898 , 0.000000
1 , 0.02 , 0.236486 , -0.506798 , 3.220327 , 0.000000
1 , 0.02 , 0.323983 , -0.539459 , 4.411798 , 0.000000
1 , 0.02 , 0.389856 , -0.462938 , 5.308825 , 0.000000
1 , 0.02 , 0.390281 , -0.277427 , 5.314612 , 0.000000
1 , 0.02 , 0.390705 , -0.092193 , 5.320391 , 0.000000
1 , 0.02 , 0.391132 , 0.094144 , 5.326203 , 0.000000
1 , 0.02 , 0.391562 , 0.282044 , 5.332064 , 0.000000
1 , 0.02 , 0.391995 , 0.471044 , 5.337960 , 0.000000
1 , 0.02 , 0.392432 , 0.661616 , 5.343904 , 0.000000
1 , 0.02 , 0.392873 , 0.854250 , 5.349914 , 0.000000
1 , 0.02 , 0.393320 , 1.049455 , 5.356003 , 0.000000
1 , 0.02 , 0.393774 , 1.247767 , 5.362189 , 0.000000
1 , 0.02 , 0.394237 , 1.449756 , 5.368489 , 0.000000
1 , 0.02 , 0.135811 , -0.466932 , 1.765013 , 0.000000
1 , 0.02 , 0.160206 , -0.475628 , 2.082064 , 0.000000
1 , 0.02 , 0.194778 , -0.487952 , 2.531364 , 0.000000
1 , 0.02 , 0.247742 , -0.506832 , 3.219692 , 0.000000
1 , 0.02 , 0.339411 , -0.539508 , 4.411036 , 0.000000
1 , 0.02 , 0.408415 , -0.462973 , 5.307831 , 0.000000
1 , 0.02 , 0.408860 , -0.277448 , 5.313617 , 0.000000
1 , 0.02 , 0.409305 , -0.092200 , 5.319394 , 0.000000
1 , 0.02 , 0.409752 , 0.094152 , 5.325206 , 0.000000
1 , 0.02 , 0.410203 , 0.282065 , 5.331067 , 0.000000
1 , 0.02 , 0.410657 , 0.471079 , 5.336962 , 0.000000
1 , 0.02 , 0.411114 , 0.661666 , 5.342906 , 0.000000
1 , 0.02 , 0.411576 , 0.854314 , 5.348914 , 0.000000
1 , 0.02 , 0.412045 , 1.049534 , 5.355002 , 0.000000
1 , 0.02 , 0.412521 , 1.247861 , 5.361188 , 0.000000
